Name,HP,Attack,Special Attack,Max Attack,Defense,Special Defense,Max Defense,Speed,Total,Type 1,Type 2,Legendary
Flapple,70,110,95,110,80,60,80,70,485,Grass,Dragon,FALSE
Appletun,110,85,100,100,80,80,80,30,485,Grass,Dragon,FALSE
Espurr,62,48,63,63,54,60,60,68,355,Psychic,,FALSE
Meowstic,74,48,83,83,76,81,81,104,466,Psychic,,FALSE
Swirlix,62,48,59,59,66,57,66,49,341,Fairy,,FALSE
Slurpuff,82,80,85,85,86,75,86,72,480,Fairy,,FALSE
Spritzee,78,52,63,63,60,65,65,23,341,Fairy,,FALSE
Aromatisse,101,72,99,99,72,89,89,29,462,Fairy,,FALSE
Dewpider,38,40,40,40,52,72,72,27,269,Water,Bug,FALSE
Araquanid,68,70,50,70,92,132,132,42,454,Water,Bug,FALSE
Wynaut,95,23,23,23,48,48,48,23,260,Psychic,,FALSE
Wobbuffet,190,33,33,33,58,58,58,33,405,Psychic,,FALSE
Galarian Farfetch'd,52,95,58,95,55,62,62,55,377,Fighting,,FALSE
Sirfetchâ€™d,62,135,68,135,95,82,95,65,507,Fighting,,FALSE
Chinchou,75,38,56,56,38,56,56,67,330,Water,Electric,FALSE
Lanturn,125,58,76,76,58,76,76,67,460,Water,Electric,FALSE
Croagunk,48,61,61,61,40,40,40,50,300,Poison,Fighting,FALSE
Toxicroak,83,106,86,106,65,65,65,85,490,Poison,Fighting,FALSE
Scraggy,50,75,35,75,70,70,70,48,348,Dark,Fighting,FALSE
Scrafty,65,90,45,90,115,115,115,58,488,Dark,Fighting,FALSE
Galarian Stunfisk,109,81,66,81,99,84,99,32,471,Ground,Steel,FALSE
Shuckle,20,10,10,10,230,230,230,5,505,Bug,Rock,FALSE
Barboach,50,48,46,48,43,41,43,60,288,Water,Ground,FALSE
Whiscash,110,78,76,78,73,71,73,60,468,Water,Ground,FALSE
Shellos,76,48,57,57,48,62,62,34,325,Water,,FALSE
Gastrodon,111,83,92,92,68,82,82,39,475,Water,Ground,FALSE
Wimpod,25,35,20,35,40,30,40,80,230,Bug,Water,FALSE
Golisopod,75,125,60,125,140,90,140,40,530,Bug,Water,FALSE
Binacle,42,52,39,52,67,56,67,50,306,Rock,Water,FALSE
Barbaracle,72,105,54,105,115,86,115,68,500,Rock,Water,FALSE
Galarian Corsola,60,55,65,65,100,100,100,30,410,Ghost,,FALSE
Galarian Cursola,60,95,145,145,50,130,130,30,510,Ghost,,FALSE
Impidimp,45,45,55,55,30,40,40,50,265,Dark,Fairy,FALSE
Morgrem,65,60,75,75,45,55,55,70,370,Dark,Fairy,FALSE
Grimmsnarl,95,120,95,120,65,75,75,60,510,Dark,Fairy,FALSE
Hatenna,42,30,56,56,45,53,53,39,265,Psychic,,FALSE
Hattrem,57,40,86,86,65,73,73,49,370,Psychic,,FALSE
Hatterene,57,90,136,136,95,103,103,29,510,Psychic,Fairy,FALSE
Salandit,48,44,71,71,40,40,40,77,320,Poison,Fire,FALSE
Salazzle,68,64,111,111,60,60,60,117,480,Poison,Fire,FALSE
Pawniard,45,85,40,85,70,40,70,60,340,Dark,Steel,FALSE
Bisharp,65,125,60,125,100,70,100,70,490,Dark,Steel,FALSE
Throh,120,100,30,100,85,85,85,45,465,Fighting,,FALSE
Sawk,75,125,30,125,75,75,75,85,465,Fighting,,FALSE
Koffing,40,65,60,65,95,45,95,35,340,Poison,,FALSE
Galarian Weezing,65,90,85,90,120,70,120,60,490,Poison,Fairy,FALSE
Bonsly,50,80,10,80,95,45,95,10,290,Rock,,FALSE
Sudowoodo,70,100,30,100,115,65,115,30,410,Rock,,FALSE
Cleffa,50,25,45,45,28,55,55,15,218,Fairy,,FALSE
Clefairy,70,45,60,60,48,65,65,35,323,Fairy,,FALSE
Clefable,95,70,95,95,73,90,90,60,483,Fairy,,FALSE
Togepi,35,20,40,40,65,65,65,20,245,Fairy,,FALSE
Togetic,55,40,80,80,85,105,105,40,405,Fairy,Flying,FALSE
Togekiss,85,50,120,120,95,115,115,80,545,Fairy,Flying,FALSE
Munchlax,135,85,40,85,40,85,85,5,390,Normal,,FALSE
Snorlax,160,110,65,110,65,110,110,30,540,Normal,,FALSE
Cottonee,40,27,37,37,60,50,60,66,280,Grass,Fairy,FALSE
Whimsicott,60,67,77,77,85,75,85,116,480,Grass,Fairy,FALSE
Rhyhorn,80,85,30,85,95,30,95,25,345,Ground,Rock,FALSE
Rhydon,105,130,45,130,120,45,120,40,485,Ground,Rock,FALSE
Rhyperior,115,140,55,140,130,55,130,40,535,Ground,Rock,FALSE
Gothita,45,30,55,55,50,65,65,45,290,Psychic,,FALSE
Gothorita,60,45,75,75,70,85,85,55,390,Psychic,,FALSE
Gothitelle,70,55,95,95,95,110,110,65,490,Psychic,,FALSE
Solosis,45,30,105,105,40,50,50,20,290,Psychic,,FALSE
Duosion,65,40,125,125,50,60,60,30,370,Psychic,,FALSE
Reuniclus,110,65,125,125,75,85,85,30,490,Psychic,,FALSE
Karrablast,50,75,40,75,45,45,45,60,315,Bug,,FALSE
Escavalier,70,135,60,135,105,105,105,20,495,Bug,Steel,FALSE
Shelmet,50,40,40,40,85,65,85,25,305,Bug,,FALSE
Accelgor,80,70,100,100,40,60,60,145,495,Bug,,FALSE
Elgyem,55,55,85,85,55,55,55,30,335,Psychic,,FALSE
Beheeyem,75,75,125,125,75,95,95,40,485,Psychic,,FALSE
Cubchoo,55,70,60,70,40,40,40,40,305,Ice,,FALSE
Beartic,95,130,70,130,80,80,80,50,505,Ice,,FALSE
Rufflet,70,83,37,83,50,50,50,60,350,Normal,Flying,FALSE
Braviary,100,123,57,123,75,75,75,80,510,Normal,Flying,FALSE
Vullaby,70,55,45,55,75,65,75,60,370,Dark,Flying,FALSE
Mandibuzz,110,65,55,65,105,95,105,80,510,Dark,Flying,FALSE
Skorupi,40,50,30,50,90,55,90,65,330,Poison,Bug,FALSE
Drapion,70,90,60,90,110,75,110,95,500,Poison,Dark,FALSE
Litwick,50,30,65,65,55,55,55,20,275,Ghost,Fire,FALSE
Lampent,60,40,95,95,60,60,60,55,370,Ghost,Fire,FALSE
Chandelure,60,55,145,145,90,90,90,80,520,Ghost,Fire,FALSE
Inkay,53,54,37,54,53,46,53,45,288,Dark,Psychic,FALSE
Malamar,86,92,68,92,88,75,88,73,482,Dark,Psychic,FALSE
Sneasel,55,95,35,95,55,75,75,115,430,Dark,Ice,FALSE
Weavile,70,120,45,120,65,85,85,125,510,Dark,Ice,FALSE
Sableye,50,75,65,75,75,65,75,50,380,Dark,Ghost,FALSE
Mawile,50,85,55,85,85,55,85,50,380,Steel,Fairy,FALSE
Maractus,75,86,106,106,67,67,67,60,461,Grass,,FALSE
Sigilyph,72,58,103,103,80,80,80,97,490,Psychic,Flying,FALSE
Riolu,40,70,35,70,40,40,40,60,285,Fighting,,FALSE
Lucario,70,110,115,115,70,70,70,90,525,Fighting,Steel,FALSE
Torkoal,70,85,85,85,140,70,140,20,470,Fire,,FALSE
Mimikyu,55,90,50,90,80,105,105,96,476,Ghost,Fairy,FALSE
Cufant,72,80,40,80,49,49,49,40,330,Steel,,FALSE
Copperajah,122,130,80,130,69,69,69,30,500,Steel,,FALSE
Qwilfish,65,95,55,95,85,55,85,85,440,Water,Poison,FALSE
Frillish,55,40,65,65,50,85,85,40,335,Water,Ghost,FALSE
Jellicent,100,60,85,85,70,105,105,60,480,Water,Ghost,FALSE
Mareanie,50,53,43,53,62,52,62,45,305,Poison,Water,FALSE
Toxapex,50,63,53,63,152,142,152,35,495,Poison,Water,FALSE
Cramorant,70,85,85,85,55,95,95,85,475,Flying,Water,FALSE
Toxel,40,38,54,54,35,35,35,40,242,Electric,Poison,FALSE
Toxtricity,75,98,114,114,70,70,70,75,502,Electric,Poison,FALSE
Silicobra,52,57,35,57,75,50,75,46,315,Ground,,FALSE
Sandaconda,72,107,65,107,125,70,125,71,510,Ground,,FALSE
Hippopotas,68,72,38,72,78,42,78,32,330,Ground,,FALSE
Hippowdon,108,112,68,112,118,72,118,47,525,Ground,,FALSE
Durant,58,109,48,109,112,48,112,109,484,Bug,Steel,FALSE
Heatmor,85,97,105,105,66,66,66,65,484,Fire,,FALSE
Helioptile,44,38,61,61,33,43,43,70,289,Electric,Normal,FALSE
Heliolisk,62,55,109,109,52,94,94,109,481,Electric,Normal,FALSE
Hawlucha,78,92,74,92,75,63,75,118,500,Fighting,Flying,FALSE
Trapinch,45,100,45,100,45,45,45,10,290,Ground,,FALSE
Vibrava,50,70,50,70,50,50,50,70,340,Ground,Dragon,FALSE
Flygon,80,100,80,100,80,80,80,100,520,Ground,Dragon,FALSE
Axew,46,87,30,87,60,40,60,57,320,Dragon,,FALSE
Fraxure,66,117,40,117,70,50,70,67,410,Dragon,,FALSE
Haxorus,76,147,60,147,90,70,90,97,540,Dragon,,FALSE
Yamask,38,30,55,55,85,65,85,30,303,Ghost,,FALSE
Galarian Yamask,38,55,30,55,85,65,85,30,303,Ground,Ghost,FALSE
Runerigus,58,95,50,95,145,105,145,30,483,Ground,Ghost,FALSE
Cofagrigus,58,50,95,95,145,105,145,30,483,Ghost,,FALSE
Honedge,45,80,35,80,100,37,100,28,325,Steel,Ghost,FALSE
Doublade,59,110,45,110,150,49,150,35,448,Steel,Ghost,FALSE
Aegislash,60,50,50,50,140,140,140,60,500,Steel,Ghost,FALSE
Galarian Ponyta,50,85,65,85,55,65,65,90,410,Psychic,,FALSE
Galarian Rapidash,65,100,80,100,70,80,80,105,500,Psychic,Fairy,FALSE
Sinistea,40,45,74,74,45,54,54,50,308,Ghost,,FALSE
Polteageist,60,65,134,134,65,114,114,70,508,Ghost,,FALSE
Indeedee,60,65,105,105,55,95,95,95,475,Psychic,Normal,FALSE
Phantump,43,70,50,70,48,60,60,38,309,Ghost,Grass,FALSE
Trevenant,85,110,65,110,76,82,82,56,474,Ghost,Grass,FALSE
Morelull,40,35,65,65,55,75,75,15,285,Grass,Fairy,FALSE
Shiinotic,60,45,90,90,80,100,100,30,405,Grass,Fairy,FALSE
Oranguru,90,60,90,90,80,110,110,60,490,Normal,Psychic,FALSE
Passimian,100,120,40,120,90,60,90,80,490,Fighting,,FALSE
Morpeko,58,95,70,95,58,58,58,97,436,Electric,Dark,FALSE
Falinks,65,100,70,100,100,60,100,75,470,Fighting,,FALSE
Drampa,78,60,135,135,85,91,91,36,485,Normal,Dragon,FALSE
Turtonator,60,78,91,91,135,85,135,36,485,Fire,Dragon,FALSE
Togedemaru,65,98,40,98,63,73,73,96,435,Electric,Steel,FALSE
Snom,30,25,45,45,35,30,35,20,185,Ice,Bug,FALSE
Frosmoth,70,65,125,125,60,90,90,65,475,Ice,Bug,FALSE
Clobbopus,50,68,50,68,60,50,60,32,310,Fighting,,FALSE
Grapploct,80,118,70,118,90,80,90,42,480,Fighting,,FALSE
Pincurchin,48,101,91,101,95,85,95,15,435,Electric,,FALSE
Mantyke,45,20,60,60,50,120,120,50,345,Water,Flying,FALSE
Mantine,85,40,80,80,70,140,140,70,485,Water,Flying,FALSE
Wailmer,130,70,70,70,35,35,35,60,400,Water,,FALSE
Wailord,170,90,90,90,45,45,45,60,500,Water,,FALSE
Bergmite,55,69,32,69,85,35,85,28,304,Ice,,FALSE
Avalugg,95,117,44,117,184,46,184,28,514,Ice,,FALSE
Dhelmise,70,131,86,131,100,90,100,40,517,Ghost,Grass,FALSE
Lapras,130,85,85,85,80,95,95,60,535,Water,Ice,FALSE
Lunatone,90,55,95,95,65,85,85,70,460,Rock,Psychic,FALSE
Solrock,90,95,55,95,85,65,85,70,460,Rock,Psychic,FALSE
Mime Jr.,20,25,70,70,45,90,90,60,310,Psychic,Fairy,FALSE
Mr. Mime,40,45,100,100,65,120,120,90,460,Psychic,Fairy,FALSE
Galarian Mr. Mime,50,65,90,90,65,90,90,100,460,Ice,Psychic,FALSE
Mr. Rime,80,85,110,110,75,100,100,70,520,Ice,Psychic,FALSE
Galarian Darumaka,70,90,15,90,45,45,45,50,315,Ice,,FALSE
Galarian Darmanitan,105,140,30,140,55,55,55,95,480,Ice,,FALSE
Stonjourner,100,125,20,125,135,20,135,70,470,Rock,,FALSE
Eiscue,75,80,65,80,110,90,110,50,470,Ice,,FALSE
Duraludon,70,95,120,120,115,50,115,85,535,Steel,Dragon,FALSE
Rotom,50,50,95,95,77,77,77,91,440,Electric,Ghost,FALSE
Heat Rotom,50,65,105,105,107,107,107,86,520,Electric,Fire,FALSE
Wash Rotom,50,65,105,105,107,107,107,86,520,Electric,Water,FALSE
Frost Rotom,50,65,105,105,107,107,107,86,520,Electric,Ice,FALSE
Fan Rotom,50,65,105,105,107,107,107,86,520,Electric,Flying,FALSE
Mow Rotom,50,65,105,105,107,107,107,86,520,Electric,Grass,FALSE
Ditto,48,48,48,48,48,48,48,48,288,Normal,,FALSE
Dracozolt,90,100,80,100,90,70,90,75,505,Electric,Dragon,FALSE
Arctozolt,90,100,90,100,90,80,90,55,505,Electric,Ice,FALSE
Dracovish,90,90,70,90,100,80,100,75,505,Water,Dragon,FALSE
Arctovish,90,90,80,90,100,90,100,55,505,Water,Ice,FALSE
Charmander,39,52,60,60,43,50,50,65,309,Fire,,FALSE
Charmeleon,58,64,80,80,58,65,65,80,405,Fire,,FALSE
Charizard,78,84,109,109,78,85,85,100,534,Fire,Flying,FALSE
Type: Null,95,95,95,95,95,95,95,59,534,Normal,,FALSE
Silvally,95,95,95,95,95,95,95,95,570,Normal,,FALSE
Larvitar,50,64,45,64,50,50,50,41,300,Rock,Ground,FALSE
Pupitar,70,84,65,84,70,70,70,51,410,Rock,Ground,FALSE
Tyranitar,100,134,95,134,110,100,110,61,600,Rock,Dark,FALSE
Deino,52,65,45,65,50,50,50,38,300,Dark,Dragon,FALSE
Zweilous,72,85,65,85,70,70,70,58,420,Dark,Dragon,FALSE
Hydreigon,92,105,125,125,90,90,90,98,600,Dark,Dragon,FALSE
Goomy,45,50,55,55,35,75,75,40,300,Dragon,,FALSE
Sliggoo,68,75,83,83,53,113,113,60,452,Dragon,,FALSE
Goodra,90,100,110,110,70,150,150,80,600,Dragon,,FALSE
Jangmo-o,45,55,45,55,65,45,65,45,300,Dragon,,FALSE
Hakamo-o,55,75,65,75,90,70,90,65,420,Dragon,Fighting,FALSE
Kommo-o,75,110,100,110,125,105,125,85,600,Dragon,Fighting,FALSE
Dreepy,28,60,40,60,30,30,30,82,270,Dragon,Ghost,FALSE
Drakloak,68,80,60,80,50,50,50,102,410,Dragon,Ghost,FALSE
Dragapult,88,120,100,120,75,75,75,142,600,Dragon,Ghost,FALSE
Zacian,92,170,80,170,115,115,115,148,720,Fairy,Steel,TRUE
Zamazenta,92,130,80,130,145,145,145,128,720,Fighting,Steel,TRUE
Eternatus,140,85,145,145,95,95,95,130,690,Poison,Dragon,TRUE